,fiat_reserve,investors_money,overhead_cost,product_cost,revenue,run,substep,time,timestep,tx_volume
96,-74277.3128676725,4814.172219117233,10240.0,0.29915000312459916,1047.5888837848743,1,4,2018-01-25 00:00:00,24,28.08866477629449
97,-74277.3128676725,4669.747052543716,10250.0,0.21849320287980695,1047.5888837848743,1,1,2018-01-26 00:00:00,25,29.264897887889493
98,-74204.15062295277,4669.747052543716,10250.0,0.21849320287980695,1120.751128504598,1,2,2018-01-26 00:00:00,25,29.264897887889493
99,-69534.40357040906,4669.747052543716,10250.0,0.21849320287980695,1120.751128504598,1,3,2018-01-26 00:00:00,25,29.264897887889493
100,-79784.40357040906,4669.747052543716,10250.0,0.21849320287980695,1120.751128504598,1,4,2018-01-26 00:00:00,25,29.264897887889493
101,-79784.40357040906,4529.654640967404,10260.0,0.2949252269944183,1120.751128504598,1,1,2018-01-27 00:00:00,26,30.247482612570106
102,-79708.78486387763,4529.654640967404,10260.0,0.2949252269944183,1196.3698350360232,1,2,2018-01-27 00:00:00,26,30.247482612570106
103,-75179.13022291023,4529.654640967404,10260.0,0.2949252269944183,1196.3698350360232,1,3,2018-01-27 00:00:00,26,30.247482612570106
104,-85439.13022291023,4529.654640967404,10260.0,0.2949252269944183,1196.3698350360232,1,4,2018-01-27 00:00:00,26,30.247482612570106
105,-85439.13022291023,4393.765001738381,10270.0,0.29247630214177867,1196.3698350360232,1,1,2018-01-28 00:00:00,27,30.25388012465506
106,-85363.49552259859,4393.765001738381,10270.0,0.29247630214177867,1272.004535347661,1,2,2018-01-28 00:00:00,27,30.25388012465506
107,-80969.7305208602,4393.765001738381,10270.0,0.29247630214177867,1272.004535347661,1,3,2018-01-28 00:00:00,27,30.25388012465506
108,-91239.7305208602,4393.765001738381,10270.0,0.29247630214177867,1272.004535347661,1,4,2018-01-28 00:00:00,27,30.25388012465506
109,-91239.7305208602,4261.952051686229,10280.0,0.16002808559033108,1272.004535347661,1,1,2018-01-29 00:00:00,28,31.120768734463383
110,-91161.92859902405,4261.952051686229,10280.0,0.16002808559033108,1349.8064571838195,1,2,2018-01-29 00:00:00,28,31.120768734463383
111,-86899.97654733782,4261.952051686229,10280.0,0.16002808559033108,1349.8064571838195,1,3,2018-01-29 00:00:00,28,31.120768734463383
112,-97179.97654733782,4261.952051686229,10280.0,0.16002808559033108,1349.8064571838195,1,4,2018-01-29 00:00:00,28,31.120768734463383
113,-97179.97654733782,4134.093490135642,10290.0,0.08430217661190596,1349.8064571838195,1,1,2018-01-30 00:00:00,29,31.409212395993144
114,-97101.45351634784,4134.093490135642,10290.0,0.08430217661190596,1428.3294881738022,1,2,2018-01-30 00:00:00,29,31.409212395993144
115,-92967.3600262122,4134.093490135642,10290.0,0.08430217661190596,1428.3294881738022,1,3,2018-01-30 00:00:00,29,31.409212395993144
116,-103257.3600262122,4134.093490135642,10290.0,0.08430217661190596,1428.3294881738022,1,4,2018-01-30 00:00:00,29,31.409212395993144
117,-103257.3600262122,4010.0706854315727,10300.0,0.07394664875739779,1428.3294881738022,1,1,2018-01-31 00:00:00,30,33.20275853510688
118,-103174.35312987443,4010.0706854315727,10300.0,0.07394664875739779,1511.3363845115693,1,2,2018-01-31 00:00:00,30,33.20275853510688
119,-99164.28244444286,4010.0706854315727,10300.0,0.07394664875739779,1511.3363845115693,1,3,2018-01-31 00:00:00,30,33.20275853510688
120,-109464.28244444286,4010.0706854315727,10300.0,0.07394664875739779,1511.3363845115693,1,4,2018-01-31 00:00:00,30,33.20275853510688
121,-109464.28244444286,3889.768564868625,10310.0,0.14563654934229264,1511.3363845115693,1,1,2018-02-01 00:00:00,31,33.762176098286396
122,-109379.87700419714,3889.768564868625,10310.0,0.14563654934229264,1595.7418247572853,1,2,2018-02-01 00:00:00,31,33.762176098286396
123,-105490.10843932851,3889.768564868625,10310.0,0.14563654934229264,1595.7418247572853,1,3,2018-02-01 00:00:00,31,33.762176098286396
